ct_taper_ratio	ct_toe	ct_twist_tip	CL	CD	l_over_d
0.2	-5	-6	0.5	0.0093	53.76
0.2	-5	0	0.5	0.00921	54.29
0.2	-5	6	0.5	0.00917	54.53
0.2	0	-6	0.5	0.00905	55.25
0.2	0	0	0.5	0.00901	55.49
0.2	0	6	0.5	0.00898	55.68
0.2	5	-6	0.5	0.00895	55.87
0.2	5	0	0.5	0.00897	55.74
0.2	5	6	0.5	0.00901	55.49
0.3	-5	-6	0.5	0.00935	53.48
0.3	-5	0	0.5	0.00922	54.23
0.3	-5	6	0.5	0.00916	54.59
0.3	0	-6	0.5	0.00907	55.13
0.3	0	0	0.5	0.00901	55.49
0.3	0	6	0.5	0.00897	55.74
0.3	5	-6	0.5	0.00894	55.93
0.3	5	0	0.5	0.00898	55.68
0.3	5	6	0.5	0.00905	55.25
0.4	-5	-6	0.5	0.0094	53.19
0.4	-5	0	0.5	0.00923	54.17
0.4	-5	6	0.5	0.00915	54.64
0.4	0	-6	0.5	0.00908	55.07
0.4	0	0	0.5	0.00901	55.49
0.4	0	6	0.5	0.00897	55.74
0.4	5	-6	0.5	0.00894	55.93
0.4	5	0	0.5	0.00899	55.62
0.4	5	6	0.5	0.00909	55.01
0.2	-5	-6	0.5	0.0093	53.76
0.2	-5	0	0.5	0.00921	54.29
0.2	-5	6	0.5	0.00917	54.53
0.2	0	-6	0.5	0.00905	55.25
0.2	0	0	0.5	0.00901	55.49
0.2	0	6	0.5	0.00898	55.68
0.2	5	-6	0.5	0.00895	55.87
0.2	5	0	0.5	0.00897	55.74
0.2	5	6	0.5	0.00901	55.49
0.3	-5	-6	0.5	0.00935	53.48
0.3	-5	0	0.5	0.00922	54.23
0.3	-5	6	0.5	0.00916	54.59
0.3	0	-6	0.5	0.00907	55.13
0.3	0	0	0.5	0.00901	55.49
0.3	0	6	0.5	0.00897	55.74
0.3	5	-6	0.5	0.00894	55.93
0.3	5	0	0.5	0.00898	55.68
0.3	5	6	0.5	0.00905	55.25
0.4	-5	-6	0.5	0.0094	53.19
0.4	-5	0	0.5	0.00923	54.17
0.4	-5	6	0.5	0.00915	54.64
0.4	0	-6	0.5	0.00908	55.07
0.4	0	0	0.5	0.00901	55.49
0.4	0	6	0.5	0.00897	55.74
0.4	5	-6	0.5	0.00894	55.93
0.4	5	0	0.5	0.00899	55.62
0.4	5	6	0.5	0.00909	55.01
